codPostalOcurrencia,año,mes,cant_codpostal
01065000,2022.0,8,1
01065000,2022.0,9,1
01065000,2022.0,10,1
01065000,2022.0,11,1
01065000,2022.0,12,3
01065000,2023.0,1,2
01065000,2023.0,2,3
01065000,2023.0,3,1
01065000,2023.0,4,5
01066000,2022.0,1,30
01066000,2022.0,2,2
01066000,2022.0,3,4
01066000,2022.0,4,2
01066000,2022.0,5,15
01066000,2022.0,6,3
01066000,2022.0,7,6
01066000,2022.0,8,5
01066000,2022.0,9,5
01066000,2022.0,10,7
01066000,2022.0,11,15
01066000,2022.0,12,11
01066000,2023.0,1,9
01066000,2023.0,2,7
01066000,2023.0,3,4
01066000,2023.0,4,8
01067000,2022.0,1,15
01067000,2022.0,2,15
01067000,2022.0,3,23
01067000,2022.0,4,25
01067000,2022.0,5,27
01067000,2022.0,6,25
01067000,2022.0,7,20
01067000,2022.0,8,20
01067000,2022.0,9,23
01067000,2022.0,10,12
01067000,2022.0,11,21
01067000,2022.0,12,8
01067000,2023.0,1,9
01067000,2023.0,2,6
01067000,2023.0,3,23
01067000,2023.0,4,5
01068000,2022.0,1,2
01068000,2022.0,2,2
01068000,2022.0,3,1
01068000,2022.0,5,2
01068000,2022.0,6,4
01068000,2022.0,7,3
01068000,2022.0,8,3
01068000,2022.0,9,5
01068000,2022.0,11,2
01068000,2022.0,12,1
01068000,2023.0,1,2
01068000,2023.0,2,2
01068000,2023.0,3,2
01069000,2022.0,1,14
01069000,2022.0,2,2
01069000,2022.0,3,1
01069000,2022.0,4,3
01069000,2022.0,5,3
01069000,2022.0,6,1
01069000,2022.0,11,3
01069000,2023.0,3,2
01070000,2022.0,1,3
01070000,2022.0,3,4
01070000,2022.0,4,1
01070000,2022.0,5,1
01070000,2022.0,6,4
01070000,2022.0,7,2
01070000,2022.0,8,1
01070000,2022.0,9,2
01070000,2022.0,10,2
01070000,2022.0,11,6
01070000,2022.0,12,2
01070000,2023.0,1,2
